Date,Primary Type,Count
2010-04-30,CRIM SEXUAL ASSAULT,104
2010-05-31,CRIM SEXUAL ASSAULT,127
2010-06-30,CRIM SEXUAL ASSAULT,118
2010-07-31,CRIM SEXUAL ASSAULT,123
2010-08-31,CRIM SEXUAL ASSAULT,122
2010-09-30,CRIM SEXUAL ASSAULT,115
2010-10-31,CRIM SEXUAL ASSAULT,123
2010-11-30,CRIM SEXUAL ASSAULT,84
2010-12-31,CRIM SEXUAL ASSAULT,85
2011-01-31,CRIM SEXUAL ASSAULT,132
2011-02-28,CRIM SEXUAL ASSAULT,111
2011-03-31,CRIM SEXUAL ASSAULT,95
2011-04-30,CRIM SEXUAL ASSAULT,108
2011-05-31,CRIM SEXUAL ASSAULT,135
2011-06-30,CRIM SEXUAL ASSAULT,136
2011-07-31,CRIM SEXUAL ASSAULT,126
2011-08-31,CRIM SEXUAL ASSAULT,122
2011-09-30,CRIM SEXUAL ASSAULT,123
2011-10-31,CRIM SEXUAL ASSAULT,136
2011-11-30,CRIM SEXUAL ASSAULT,106
2011-12-31,CRIM SEXUAL ASSAULT,107
2012-01-31,CRIM SEXUAL ASSAULT,108
2012-02-29,CRIM SEXUAL ASSAULT,102
2012-03-31,CRIM SEXUAL ASSAULT,103
2012-04-30,CRIM SEXUAL ASSAULT,106
2012-05-31,CRIM SEXUAL ASSAULT,128
2012-06-30,CRIM SEXUAL ASSAULT,129
2012-07-31,CRIM SEXUAL ASSAULT,153
2012-08-31,CRIM SEXUAL ASSAULT,123
2012-09-30,CRIM SEXUAL ASSAULT,101
2012-10-31,CRIM SEXUAL ASSAULT,111
2012-11-30,CRIM SEXUAL ASSAULT,110
2012-12-31,CRIM SEXUAL ASSAULT,100
2013-01-31,CRIM SEXUAL ASSAULT,104
2013-02-28,CRIM SEXUAL ASSAULT,81
2013-03-31,CRIM SEXUAL ASSAULT,101
2013-04-30,CRIM SEXUAL ASSAULT,77
2013-05-31,CRIM SEXUAL ASSAULT,102
2013-06-30,CRIM SEXUAL ASSAULT,113
2013-07-31,CRIM SEXUAL ASSAULT,123
2013-08-31,CRIM SEXUAL ASSAULT,124
2013-09-30,CRIM SEXUAL ASSAULT,105
2013-10-31,CRIM SEXUAL ASSAULT,103
2013-11-30,CRIM SEXUAL ASSAULT,101
2013-12-31,CRIM SEXUAL ASSAULT,75
2014-01-31,CRIM SEXUAL ASSAULT,72
2014-02-28,CRIM SEXUAL ASSAULT,69
2014-03-31,CRIM SEXUAL ASSAULT,85
2014-04-30,CRIM SEXUAL ASSAULT,104
2014-05-31,CRIM SEXUAL ASSAULT,106
2014-06-30,CRIM SEXUAL ASSAULT,115
2014-07-31,CRIM SEXUAL ASSAULT,102
2014-08-31,CRIM SEXUAL ASSAULT,130
2014-09-30,CRIM SEXUAL ASSAULT,112
2014-10-31,CRIM SEXUAL ASSAULT,101
2014-11-30,CRIM SEXUAL ASSAULT,103
2014-12-31,CRIM SEXUAL ASSAULT,32
2004-01-31,CRIMINAL DAMAGE,3482
2004-02-29,CRIMINAL DAMAGE,3379
2004-03-31,CRIMINAL DAMAGE,4596
2004-04-30,CRIMINAL DAMAGE,4495
2004-05-31,CRIMINAL DAMAGE,4654
2004-06-30,CRIMINAL DAMAGE,4860
2004-07-31,CRIMINAL DAMAGE,4902
2004-08-31,CRIMINAL DAMAGE,4935
2004-09-30,CRIMINAL DAMAGE,4481
2004-10-31,CRIMINAL DAMAGE,4995
2004-11-30,CRIMINAL DAMAGE,4539
2004-12-31,CRIMINAL DAMAGE,3846
2005-01-31,CRIMINAL DAMAGE,3409
2005-02-28,CRIMINAL DAMAGE,3583
2005-03-31,CRIMINAL DAMAGE,4347
2005-04-30,CRIMINAL DAMAGE,4763
2005-05-31,CRIMINAL DAMAGE,5048
2005-06-30,CRIMINAL DAMAGE,4803
2005-07-31,CRIMINAL DAMAGE,5185
2005-08-31,CRIMINAL DAMAGE,4943
2005-09-30,CRIMINAL DAMAGE,4793
2005-10-31,CRIMINAL DAMAGE,5358
2005-11-30,CRIMINAL DAMAGE,4795
2005-12-31,CRIMINAL DAMAGE,3521
2006-01-31,CRIMINAL DAMAGE,4688
2006-02-28,CRIMINAL DAMAGE,4028
2006-03-31,CRIMINAL DAMAGE,4661
2006-04-30,CRIMINAL DAMAGE,4763
2006-05-31,CRIMINAL DAMAGE,4828
2006-06-30,CRIMINAL DAMAGE,4913
2006-07-31,CRIMINAL DAMAGE,5253
2006-08-31,CRIMINAL DAMAGE,5402
2006-09-30,CRIMINAL DAMAGE,4808
2006-10-31,CRIMINAL DAMAGE,5094
2006-11-30,CRIMINAL DAMAGE,4545
2006-12-31,CRIMINAL DAMAGE,4141
2007-01-31,CRIMINAL DAMAGE,3890
2007-02-28,CRIMINAL DAMAGE,2757
2007-03-31,CRIMINAL DAMAGE,4545
2007-04-30,CRIMINAL DAMAGE,4588
2007-05-31,CRIMINAL DAMAGE,5142
2007-06-30,CRIMINAL DAMAGE,4699
2007-07-31,CRIMINAL DAMAGE,5057
2007-08-31,CRIMINAL DAMAGE,5007
2007-09-30,CRIMINAL DAMAGE,4668
2007-10-31,CRIMINAL DAMAGE,5325
2007-11-30,CRIMINAL DAMAGE,4527
2007-12-31,CRIMINAL DAMAGE,3541
2008-01-31,CRIMINAL DAMAGE,3858
2008-02-29,CRIMINAL DAMAGE,3132
2008-03-31,CRIMINAL DAMAGE,4288
2008-04-30,CRIMINAL DAMAGE,4418
2008-05-31,CRIMINAL DAMAGE,4979
2008-06-30,CRIMINAL DAMAGE,4850
2008-07-31,CRIMINAL DAMAGE,5094
2008-08-31,CRIMINAL DAMAGE,5105
2008-09-30,CRIMINAL DAMAGE,4422
2008-10-31,CRIMINAL DAMAGE,4838
2008-11-30,CRIMINAL DAMAGE,4361
2008-12-31,CRIMINAL DAMAGE,3495
2009-01-31,CRIMINAL DAMAGE,3224
2009-02-28,CRIMINAL DAMAGE,3239
2009-03-31,CRIMINAL DAMAGE,4131
2009-04-30,CRIMINAL DAMAGE,4099
2009-05-31,CRIMINAL DAMAGE,4476
2009-06-30,CRIMINAL DAMAGE,4342
2009-07-31,CRIMINAL DAMAGE,4546
2009-08-31,CRIMINAL DAMAGE,4427
2009-09-30,CRIMINAL DAMAGE,3934
2009-10-31,CRIMINAL DAMAGE,4255
2009-11-30,CRIMINAL DAMAGE,4016
2009-12-31,CRIMINAL DAMAGE,3035
2010-01-31,CRIMINAL DAMAGE,2800
